DOID:612	KEGG:05340
DOID:9352	KEGG:04930
DOID:0050524	KEGG:04950
DOID:0050589	KEGG:05321
DOID:0050741	KEGG:05034
DOID:0050780	KEGG:H00583
DOID:0050788	KEGG:H00484
DOID:0050790	KEGG:H00467
DOID:10112	KEGG:05143
DOID:10283	KEGG:05215
DOID:10286	KEGG:05215
DOID:10652	KEGG:05010
DOID:11054	KEGG:05219
DOID:1116	KEGG:05133
DOID:11984	KEGG:05410
DOID:12140	KEGG:05142
DOID:12385	KEGG:05131
DOID:12858	KEGG:05016
DOID:12930	KEGG:05414
DOID:1380	KEGG:05213
DOID:14330	KEGG:05012
DOID:1781	KEGG:05216
DOID:1793	KEGG:05212
DOID:1909	KEGG:05218
DOID:2841	KEGG:05310
DOID:332	KEGG:05014
DOID:5409	KEGG:05222
DOID:649	KEGG:05020
DOID:8552	KEGG:05220
DOID:9119	KEGG:05221
DOID:9256	KEGG:05210
DOID:9744	KEGG:04940
DOID:2513	KEGG:05217
DOID:3070	KEGG:05214
DOID:3908	KEGG:05223
DOID:7148	KEGG:05323
DOID:820	KEGG:05416
DOID:9074	KEGG:05322
DOID:9778	KEGG:05321
