15987396	CHEMBL512355
1229	CHEMBL6616
2797	CHEMBL683
9870304	CHEMBL278590
64929	CHEMBL981
44582468	CHEMBL448604
11483970	CHEMBL191275
11497604	CHEMBL211473
1517	CHEMBL435278
39042	CHEMBL264374
9803963	CHEMBL38943
5312149	CHEMBL431298
10162063	CHEMBL221074
6483031	CHEMBL199145
149790	CHEMBL296435
6852146	CHEMBL187523
9956726	CHEMBL219586
11551271	CHEMBL241570
11498384	CHEMBL449300
11512055	CHEMBL207083
11530302	CHEMBL239440
11526737	CHEMBL1165089
4180608	CHEMBL138530
447874	CHEMBL248643
5274979	CHEMBL505886
11393	CHEMBL948
11699482	CHEMBL1164612
822774	CHEMBL23796
16058630	CHEMBL241577
10968945	CHEMBL240722
394898	CHEMBL281376
10454174	CHEMBL345701
447872	CHEMBL252967
160024	CHEMBL84446
9922689	CHEMBL240871
139106	CHEMBL390066
3510137	CHEMBL23591
4369325	CHEMBL395347
11454205	CHEMBL225088
11699253	CHEMBL206442
10037159	CHEMBL381148
11707191	CHEMBL156019
6918517	CHEMBL509188
11526916	CHEMBL206854
81058	CHEMBL240293
11621130	CHEMBL1165583
53359	CHEMBL436
9845018	CHEMBL312137
16007116	CHEMBL377383
9820008	CHEMBL197194
5289109	CHEMBL511942
10833200	CHEMBL341760
847760	CHEMBL278395
724642	CHEMBL23238
9912743	CHEMBL91485
721954	CHEMBL23559
2120	CHEMBL63055
11526803	CHEMBL381617
235259	CHEMBL417648
5287532	CHEMBL378225
11914	CHEMBL292411
447873	CHEMBL437747
11354322	CHEMBL295109
9981319	CHEMBL431828
45261811	CHEMBL542712
1613	CHEMBL10372
9799867	CHEMBL425483
11970	CHEMBL240714
6420118	CHEMBL240725
10167359	CHEMBL295996
10908388	CHEMBL273916
44410063	CHEMBL203120
5289111	CHEMBL468900
2725651	CHEMBL23285
439616	CHEMBL58910
5289110	CHEMBL514794
10555828	CHEMBL281794
3253857	CHEMBL23417
11692473	CHEMBL219601
11846124	CHEMBL424872
2387	CHEMBL99951
6918820	CHEMBL182892
216239	CHEMBL1336
123664	CHEMBL418661
139601	CHEMBL228114
4258082	CHEMBL283097
11569760	CHEMBL381618
5724	CHEMBL10413
9933908	CHEMBL282161
11496999	CHEMBL380521
1282	CHEMBL46148
22628841	CHEMBL204126
444539	CHEMBL27246
11526736	CHEMBL381919
11526737	CHEMBL381919
135451156	CHEMBL255465
23647395	CHEMBL380257
10721546	CHEMBL344100
16231	CHEMBL945
135464491	CHEMBL383990
