D00001	CHEBI:15377
D00002	CHEBI:15846
D00003	CHEBI:15379
D00004	CHEBI:16526
D00005	CHEBI:16238
D00007	CHEBI:16015
D00008	CHEBI:16240
D00009	CHEBI:4167
D00010	CHEBI:15366
D00011	CHEBI:15428
D00012	CHEBI:16977
D00013	CHEBI:17053
D00014	CHEBI:16856
D00015	CHEBI:18050
D00016	CHEBI:17115
D00017	CHEBI:16842
D00018	CHEBI:29073
D00019	CHEBI:16643
D00020	CHEBI:16828
D00021	CHEBI:17295
D00022	CHEBI:17895
D00023	CHEBI:16199
D00025	CHEBI:17992
D00026	CHEBI:17561
D00027	CHEBI:17568
D00028	CHEBI:17754
D00029	CHEBI:15956
D00030	CHEBI:15603
D00031	CHEBI:17858
D00032	CHEBI:15971
D00033	CHEBI:15882
D00034	CHEBI:16708
D00035	CHEBI:17203
D00036	CHEBI:17154
D00037	CHEBI:30769
D00038	CHEBI:30746
D00039	CHEBI:16414
D00040	CHEBI:16113
D00041	CHEBI:16857
D00043	CHEBI:17941
D00044	CHEBI:17306
D00045	CHEBI:16335
D00046	CHEBI:17716
D00047	CHEBI:15891
D00048	CHEBI:17460
D00049	CHEBI:15940
D00050	CHEBI:17015
D00051	CHEBI:16422
D00052	CHEBI:42191
D00054	CHEBI:17596
D00055	CHEBI:16742
D00056	CHEBI:9765
D00057	CHEBI:16436
D00058	CHEBI:16865
D00059	CHEBI:15765
D00060	CHEBI:52071
D00061	CHEBI:17151
D00062	CHEBI:16899
D00063	CHEBI:28864
D00064	CHEBI:15409
D00065	CHEBI:17191
D00066	CHEBI:17026
D00067	CHEBI:17263
D00068	CHEBI:16236
D00069	CHEBI:17336
D00070	CHEBI:27470
D00071	CHEBI:5058
D00072	CHEBI:18070
D00073	CHEBI:17594
D00074	CHEBI:16480
D00075	CHEBI:17347
D00076	CHEBI:18357
D00077	CHEBI:17987
D00078	CHEBI:16997
D00079	CHEBI:15551
D00080	CHEBI:18250
D00081	CHEBI:15553
D00083	CHEBI:17997
D00085	CHEBI:5931
D00086	CHEBI:16494
D00087	CHEBI:3070
D00088	CHEBI:17650
D00089	CHEBI:7872
D00090	CHEBI:9574
D00091	CHEBI:18346
D00093	CHEBI:18246
D00094	CHEBI:15367
D00095	CHEBI:28918
D00096	CHEBI:17924
D00097	CHEBI:16914
D00098	CHEBI:36773
D00099	CHEBI:16125
D00100	CHEBI:78277
D00101	CHEBI:9937
D00102	CHEBI:17045
D00103	CHEBI:15674
D00104	CHEBI:17698
D00105	CHEBI:16469
D00106	CHEBI:15552
D00107	CHEBI:61057
